week_id,target_name,target_tier,target_type,contact_url,owner,pitch_template,hook_angle,primary_report_url,supporting_city_or_topic_url,stage,sent_at,followup_1_at,followup_2_at,replied_at,published_at,published_url,link_type,anchor_text,cqs,notes
2026-W25,OutThere,P1,LGBTQ luxury travel media,https://www.outthere.travel/contact/,owner_a,Template D,Luxury queer travel trend with route-safety methodology,https://www.queeratlas.app/reports/safest-queer-cities-2026,https://www.queeratlas.app/queer-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas safest queer cities 2026,,New target; personalize around luxury and inclusive travel.
2026-W25,Passport Magazine,P1,LGBTQ travel media,https://passportmagazine.com/contact/,owner_a,Template D,Data-backed queer city travel resource,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/cities,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas queer nightlife index,,New target; pitch as citation/resource not ad.
2026-W25,TravelGay,P1,LGBTQ travel directory/media,https://www.travelgay.com/contact,owner_b,Template E,Venue-data collaboration and city guide citation,https://www.queeratlas.app/cities,https://www.queeratlas.app/queer-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas city guides,,New target; mention complementary data model.
2026-W25,Queer In The World,P1,LGBTQ travel blog,https://queerintheworld.com/contact/,owner_b,Template E,Source exchange for smaller-city queer guides,https://www.queeratlas.app/queer-guide,https://www.queeratlas.app/sarajevo,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas queer travel guide,,New target; high relevance for long-tail country/city guides.
2026-W25,Nomadic Boys,P1,LGBTQ travel blog,https://nomadicboys.com/contact/,owner_b,Template E,Route-first queer travel safety and nightlife data,https://www.queeratlas.app/reports/safest-queer-cities-2026,https://www.queeratlas.app/albania,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas travel safety report,,New target; personalize around gay travel guide updates.
2026-W25,Wolfyy,P1,LGBTQ travel blog,https://www.wolfyy.com/contact/,owner_b,Template E,Useful citation for gay city nightlife guides,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/montenegro,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas nightlife index,,New target; relevant to city-specific gay travel pages.
2026-W25,EveryQueer,P1,LGBTQ travel media,https://everyqueer.com/contact/,owner_a,Template D,Inclusive travel safety resource for city planning,https://www.queeratlas.app/queer-guide,https://www.queeratlas.app/reports/safest-queer-cities-2026,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas queer guide,,New target; pitch as resource, not guest post first.
2026-W25,IGLTA,P1,LGBTQ travel association,https://www.iglta.org/contact/,owner_c,Template F,Member/resource candidate for LGBTQ travel planning,https://www.queeratlas.app/queer-guide,https://www.queeratlas.app/cities,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas LGBTQ travel resource,,New target; ask about resource inclusion or partnership path.
2026-W25,InterPride,P2,Pride organization network,https://www.interpride.org/contact/,owner_c,Template F,Global Pride and travel safety resource,https://www.queeratlas.app/events,https://www.queeratlas.app/now,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas events and safety signal,,New target; ask for resource consideration.
2026-W25,European Pride Organisers Association,P2,Pride organization network,https://www.epoa.eu/contact,owner_c,Template F,European Pride route and city safety context,https://www.queeratlas.app/events,https://www.queeratlas.app/reports/global-queer-event-report-2026,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas global queer event report,,New target; Europe-focused pitch.
2026-W25,them,P1,LGBTQ culture media,https://www.them.us/contact,owner_a,Template D,Queer travel safety and city culture angle,https://www.queeratlas.app/reports/safest-queer-cities-2026,https://www.queeratlas.app/now,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas safety index,,New target; editorial tip, no hard link ask.
2026-W25,Instinct Magazine,P2,LGBTQ lifestyle media,https://instinctmagazine.com/contact/,owner_a,Template D,Gay travel nightlife trend source,https://www.queeratlas.app/reports/queer-nightlife-index-2026,https://www.queeratlas.app/gay-guide,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas queer nightlife index,,New target; travel/lifestyle angle.
2026-W25,GO Magazine,P2,LGBTQ women's media,https://gomag.com/contact/,owner_a,Template G,Sapphic nightlife and safer queer city resource,https://www.queeratlas.app/reports/safest-queer-cities-2026,https://www.queeratlas.app/madrid/discover/lesbian-nightlife,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas safest queer cities,,New target; focus lesbian nightlife routes.
2026-W25,Pride Life Global,P2,LGBTQ lifestyle media,https://pridelifeglobal.com/contact/,owner_a,Template D,Queer travel city ranking and safety context,https://www.queeratlas.app/reports/top-lgbtq-nightlife-destinations-2026,https://www.queeratlas.app/cities,prospect,,2026-06-23,2026-06-30,,,,unknown,Queer Atlas top LGBTQ nightlife destinations,,New target; broad lifestyle/travel pitch.
